empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,extra_payment,extra_payment-terminal,extra_rental_uris_android,extra_rental_uris_ios,extra_renting,extra_returning,extra_slots,extra_uid,extra_address
8,11,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,Union St at 10th St,2023-08-22T02:33:57.113000Z,0,True,1692671548,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,e0c59a44-7e14-43bd-99e2-a294b3fc0951,
10,4,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Fruitvale BART Station,2023-08-22T02:33:57.321000Z,0,True,1692671519,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,cf1d4581-61da-4ade-97d5-2f856cdb0aad,
4,15,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996825,14th St at Filbert St,2023-08-22T02:33:57.245000Z,0,True,1692671513,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,ac5e3053-b3f5-4396-9114-7650b67c7090,
12,5,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,MLK Jr Way at 14th St,2023-08-22T02:33:57.523000Z,0,True,1692671568,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,18,e4921f52-7a6c-4baa-b057-ddc7051980ca,
9,7,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,29th St at Tiffany Ave,2023-08-22T02:33:57.400000Z,3,True,1692671534,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,86e91819-05c0-4150-ab16-83d8480dc7f4,
1,12,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Precita Park,2023-08-22T02:33:57.421000Z,6,True,1692671560,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,615bca10-5b2a-4b7e-876c-04c4d3d9e360,
6,9,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,29th St at Church St,2023-08-22T02:33:57.560000Z,4,True,1692671527,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,0fc2ae3f-b5ac-493b-bd93-8300b601f9db,
1,13,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066925,Guerrero Park,2023-08-22T02:33:57.167000Z,5,True,1692671494,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,aacc087a-f075-4682-a0df-be4c30c4a632,
1,14,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,Cesar Chavez St at Dolores St,2023-08-22T02:33:57.551000Z,10,True,1692671552,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,9202aa09-26ee-4220-9281-c66b7bbe7b38,
7,16,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,Horton St at 40th St,2023-08-22T02:33:57.205000Z,0,True,1692671536,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,8f409200-2adf-4b2d-b675-6befa5adc6e3,
